Incident_ID,Timestamp,Target_Department,Sender_Domain,Phishing_Type,Employee_Action
INC-2026-10030,2026-01-09 8:58,Sales,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10031,2026-03-13 14:49,Sales,micros0ft-security.com,BEC/Whaling,Clicked Link
INC-2026-10032,2026-01-01 0:05,HR,secure-bank-login.net,BEC/Whaling,Reported to IT
INC-2026-10033,2026-02-07 0:02,Finance,secure-bank-login.net,Malware Delivery,Reported to IT
INC-2026-10034,2026-03-29 3:32,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10035,2026-03-09 9:58,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10036,2026-02-07 20:59,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10037,2026-01-06 4:58,IT,micros0ft-security.com,Credential Harvesting,Ignored
INC-2026-10038,2026-01-14 20:58,Sales,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10039,2026-02-19 11:38,IT,invoice-processing.co,Malware Delivery,Deleted
INC-2026-10040,2026-03-08 23:50,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10041,2026-01-16 13:08,Operations,invoice-processing.co,Credential Harvesting,Reported to IT
INC-2026-10042,2026-01-30 1:44,IT,hr-benefits-portal.org,BEC/Whaling,Clicked Link
INC-2026-10043,2026-02-19 6:56,Sales,hr-benefits-portal.org,Credential Harvesting,Clicked Link
INC-2026-10044,2026-01-11 6:04,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10045,2026-01-05 21:02,Finance,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10046,2026-01-08 19:21,Finance,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10047,2026-02-03 12:41,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10048,2026-01-25 5:12,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10049,2026-01-01 16:28,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10050,2026-02-26 22:44,Executive,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10051,2026-02-24 23:09,Executive,secure-bank-login.net,BEC/Whaling,Deleted
INC-2026-10052,2026-02-13 8:01,Operations,hr-benefits-portal.org,Credential Harvesting,Deleted
INC-2026-10053,2026-03-06 23:47,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10054,2026-02-18 0:28,Executive,micros0ft-security.com,BEC/Whaling,Deleted
INC-2026-10055,2026-03-08 14:08,HR,micros0ft-security.com,BEC/Whaling,Reported to IT
INC-2026-10056,2026-02-19 0:57,Executive,invoice-processing.co,BEC/Whaling,Clicked Link
INC-2026-10057,2026-01-16 10:16,Finance,micros0ft-security.com,Credential Harvesting,Clicked Link
INC-2026-10058,2026-03-09 15:45,Executive,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10059,2026-02-19 13:32,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10060,2026-03-08 1:08,Sales,invoice-processing.co,Malware Delivery,Reported to IT
INC-2026-10061,2026-03-15 14:24,HR,invoice-processing.co,Malware Delivery,Deleted
INC-2026-10062,2026-01-19 8:23,Executive,hr-benefits-portal.org,BEC/Whaling,Reported to IT
INC-2026-10063,2026-03-26 3:46,Finance,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10064,2026-02-25 23:58,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10065,2026-02-17 11:31,Operations,micros0ft-security.com,Malware Delivery,Ignored
INC-2026-10066,2026-01-12 19:26,HR,micros0ft-security.com,Credential Harvesting,Ignored
INC-2026-10067,2026-03-08 17:38,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10068,2026-03-19 19:29,HR,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10069,2026-01-18 2:30,HR,hr-benefits-portal.org,Credential Harvesting,Deleted
INC-2026-10070,2026-03-30 1:42,Finance,hr-benefits-portal.org,Urgent Invoice,Clicked Link
INC-2026-10071,2026-01-26 4:33,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10072,2026-01-14 18:37,Finance,secure-bank-login.net,Urgent Invoice,Clicked Link
INC-2026-10073,2026-03-12 17:19,Executive,invoice-processing.co,BEC/Whaling,Reported to IT
INC-2026-10074,2026-03-14 12:19,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10075,2026-03-03 5:54,Executive,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10076,2026-02-13 11:34,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10077,2026-02-01 5:32,Executive,secure-bank-login.net,BEC/Whaling,Ignored
INC-2026-10078,2026-02-26 13:17,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10079,2026-02-08 21:44,IT,micros0ft-security.com,Malware Delivery,Deleted
INC-2026-10080,2026-02-05 6:02,Executive,micros0ft-security.com,BEC/Whaling,Deleted
INC-2026-10081,2026-01-19 13:57,Finance,secure-bank-login.net,Malware Delivery,Reported to IT
INC-2026-10082,2026-03-12 11:50,Executive,secure-bank-login.net,BEC/Whaling,Deleted
INC-2026-10083,2026-01-03 22:30,HR,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10084,2026-01-04 13:39,Finance,secure-bank-login.net,BEC/Whaling,Reported to IT
INC-2026-10085,2026-03-31 16:20,Finance,invoice-processing.co,BEC/Whaling,Clicked Link
INC-2026-10086,2026-02-14 5:39,Executive,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10087,2026-01-07 12:10,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10088,2026-02-27 10:16,Sales,secure-bank-login.net,BEC/Whaling,Ignored
INC-2026-10089,2026-03-13 7:31,Finance,secure-bank-login.net,Urgent Invoice,Reported to IT
INC-2026-10090,2026-03-25 19:39,Finance,invoice-processing.co,Malware Delivery,Deleted
INC-2026-10091,2026-02-08 19:45,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10092,2026-01-22 14:46,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10093,2026-03-21 4:58,Sales,secure-bank-login.net,Malware Delivery,Ignored
INC-2026-10094,2026-02-18 0:44,IT,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10095,2026-03-21 1:57,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10096,2026-01-08 7:16,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10097,2026-02-17 7:02,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10098,2026-01-11 21:35,HR,micros0ft-security.com,Malware Delivery,Ignored
INC-2026-10099,2026-03-23 0:24,Finance,micros0ft-security.com,Urgent Invoice,Clicked Link
INC-2026-10100,2026-03-01 18:38,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10101,2026-02-19 21:41,Operations,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10102,2026-04-01 15:40,HR,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10103,2026-03-21 5:48,HR,secure-bank-login.net,Credential Harvesting,Reported to IT
INC-2026-10104,2026-02-23 4:39,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10105,2026-02-13 23:09,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10106,2026-03-27 18:00,Sales,secure-bank-login.net,Urgent Invoice,Clicked Link
INC-2026-10107,2026-01-26 11:55,Executive,invoice-processing.co,BEC/Whaling,Deleted
INC-2026-10108,2026-03-04 18:42,Operations,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10109,2026-03-19 12:03,Finance,micros0ft-security.com,Urgent Invoice,Downloaded Attachment
INC-2026-10110,2026-01-09 7:18,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10111,2026-01-05 22:28,Sales,micros0ft-security.com,Malware Delivery,Ignored
INC-2026-10112,2026-01-07 21:55,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10113,2026-01-01 10:09,IT,hr-benefits-portal.org,Credential Harvesting,Ignored
INC-2026-10114,2026-02-17 1:52,Finance,micros0ft-security.com,BEC/Whaling,Deleted
INC-2026-10115,2026-02-06 14:33,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10116,2026-02-04 7:39,Finance,invoice-processing.co,Urgent Invoice,Clicked Link
INC-2026-10117,2026-02-01 3:26,Executive,invoice-processing.co,BEC/Whaling,Reported to IT
INC-2026-10118,2026-02-23 7:49,Sales,invoice-processing.co,BEC/Whaling,Clicked Link
INC-2026-10119,2026-01-08 18:41,IT,hr-benefits-portal.org,Malware Delivery,Deleted
INC-2026-10120,2026-02-21 20:52,HR,micros0ft-security.com,Credential Harvesting,Ignored
INC-2026-10121,2026-01-24 6:42,Operations,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10122,2026-02-27 8:42,Finance,micros0ft-security.com,Malware Delivery,Deleted
INC-2026-10123,2026-03-02 9:37,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10124,2026-02-16 1:29,IT,hr-benefits-portal.org,Credential Harvesting,Reported to IT
INC-2026-10125,2026-01-04 13:01,IT,secure-bank-login.net,BEC/Whaling,Deleted
INC-2026-10126,2026-03-02 22:39,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10127,2026-01-20 11:41,Executive,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10128,2026-02-08 19:45,Sales,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10129,2026-01-09 2:44,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10130,2026-02-04 16:27,Finance,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10131,2026-02-24 14:35,Finance,invoice-processing.co,Urgent Invoice,Clicked Link
INC-2026-10132,2026-03-19 7:48,HR,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10133,2026-02-06 10:42,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10134,2026-03-30 21:02,Finance,invoice-processing.co,Urgent Invoice,Clicked Link
INC-2026-10135,2026-02-11 22:51,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10136,2026-02-24 7:33,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10137,2026-01-30 22:52,Operations,micros0ft-security.com,Malware Delivery,Deleted
INC-2026-10138,2026-01-18 6:39,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10139,2026-02-15 12:27,Finance,invoice-processing.co,Urgent Invoice,Downloaded Attachment
INC-2026-10140,2026-02-16 9:41,Finance,invoice-processing.co,Credential Harvesting,Reported to IT
INC-2026-10141,2026-03-23 23:54,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10142,2026-01-06 10:48,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10143,2026-02-26 8:56,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10144,2026-02-19 17:49,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10145,2026-01-02 4:00,IT,micros0ft-security.com,Urgent Invoice,Reported to IT
INC-2026-10146,2026-01-30 19:03,Finance,micros0ft-security.com,Urgent Invoice,Downloaded Attachment
INC-2026-10147,2026-03-07 23:20,Finance,invoice-processing.co,Urgent Invoice,Downloaded Attachment
INC-2026-10148,2026-01-02 22:32,IT,micros0ft-security.com,Urgent Invoice,Downloaded Attachment
INC-2026-10149,2026-02-05 14:50,Sales,secure-bank-login.net,Urgent Invoice,Reported to IT
INC-2026-10150,2026-02-03 19:39,Sales,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10151,2026-01-18 22:10,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10152,2026-01-10 4:40,Operations,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10153,2026-01-09 3:27,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10154,2026-02-15 5:11,Operations,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10155,2026-02-15 21:52,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10156,2026-01-09 19:37,Finance,invoice-processing.co,Urgent Invoice,Clicked Link
INC-2026-10157,2026-01-29 15:51,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10158,2026-03-02 9:28,Sales,invoice-processing.co,Credential Harvesting,Reported to IT
INC-2026-10159,2026-03-26 17:16,HR,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10160,2026-02-28 12:34,Finance,invoice-processing.co,Credential Harvesting,Deleted
INC-2026-10161,2026-02-02 2:37,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10162,2026-02-02 12:16,Sales,hr-benefits-portal.org,Malware Delivery,Reported to IT
INC-2026-10163,2026-01-27 13:24,Finance,invoice-processing.co,Credential Harvesting,Deleted
INC-2026-10164,2026-01-04 9:05,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10165,2026-02-08 8:07,IT,secure-bank-login.net,Credential Harvesting,Reported to IT
INC-2026-10166,2026-01-29 16:59,Finance,secure-bank-login.net,Urgent Invoice,Downloaded Attachment
INC-2026-10167,2026-01-13 10:25,Sales,micros0ft-security.com,Credential Harvesting,Clicked Link
INC-2026-10168,2026-02-15 6:10,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10169,2026-02-22 1:57,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10170,2026-01-01 18:06,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10171,2026-02-28 20:50,Sales,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10172,2026-01-30 15:11,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10173,2026-02-25 19:25,HR,secure-bank-login.net,Malware Delivery,Clicked Link
INC-2026-10174,2026-03-24 16:38,Finance,secure-bank-login.net,Urgent Invoice,Clicked Link
INC-2026-10175,2026-03-14 0:13,Finance,secure-bank-login.net,Urgent Invoice,Reported to IT
INC-2026-10176,2026-03-22 23:22,HR,hr-benefits-portal.org,Credential Harvesting,Reported to IT
INC-2026-10177,2026-03-09 14:35,HR,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10178,2026-03-25 10:16,Operations,hr-benefits-portal.org,Credential Harvesting,Deleted
INC-2026-10179,2026-02-20 8:18,Sales,secure-bank-login.net,Credential Harvesting,Clicked Link
INC-2026-10180,2026-03-14 16:35,Executive,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10181,2026-01-23 8:45,Sales,invoice-processing.co,Credential Harvesting,Reported to IT
INC-2026-10182,2026-02-14 18:36,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10183,2026-02-01 15:53,Operations,micros0ft-security.com,Urgent Invoice,Downloaded Attachment
INC-2026-10184,2026-03-14 16:16,IT,invoice-processing.co,BEC/Whaling,Deleted
INC-2026-10185,2026-01-10 15:35,HR,micros0ft-security.com,BEC/Whaling,Reported to IT
INC-2026-10186,2026-04-01 2:35,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10187,2026-02-02 16:10,IT,hr-benefits-portal.org,Credential Harvesting,Ignored
INC-2026-10188,2026-01-07 4:33,HR,hr-benefits-portal.org,BEC/Whaling,Deleted
INC-2026-10189,2026-02-03 0:37,Finance,micros0ft-security.com,Urgent Invoice,Reported to IT
INC-2026-10190,2026-02-18 15:00,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10191,2026-03-05 12:32,Executive,secure-bank-login.net,BEC/Whaling,Deleted
INC-2026-10192,2026-03-04 21:55,IT,hr-benefits-portal.org,Malware Delivery,Ignored
INC-2026-10193,2026-03-25 20:25,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10194,2026-02-03 7:49,Operations,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10195,2026-02-20 4:40,IT,secure-bank-login.net,Malware Delivery,Reported to IT
INC-2026-10196,2026-02-04 4:29,IT,micros0ft-security.com,Credential Harvesting,Reported to IT
INC-2026-10197,2026-03-09 5:29,Finance,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10198,2026-02-17 13:01,Sales,invoice-processing.co,BEC/Whaling,Reported to IT
INC-2026-10199,2026-03-31 19:41,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10200,2026-03-29 2:34,Sales,hr-benefits-portal.org,BEC/Whaling,Clicked Link
INC-2026-10201,2026-03-22 14:32,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10202,2026-02-17 16:09,Finance,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10203,2026-02-22 9:28,Operations,micros0ft-security.com,BEC/Whaling,Clicked Link
INC-2026-10204,2026-03-30 22:29,Operations,secure-bank-login.net,BEC/Whaling,Clicked Link
INC-2026-10205,2026-03-21 3:27,Sales,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10206,2026-01-11 23:24,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10207,2026-02-01 14:23,IT,secure-bank-login.net,Credential Harvesting,Ignored
INC-2026-10208,2026-04-01 9:40,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10209,2026-02-09 12:43,Finance,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10210,2026-02-21 22:00,Finance,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10211,2026-01-23 23:23,Finance,secure-bank-login.net,Urgent Invoice,Downloaded Attachment
INC-2026-10212,2026-02-08 0:08,Finance,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10213,2026-01-27 15:48,Executive,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10214,2026-03-11 20:32,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10215,2026-02-01 22:27,Executive,invoice-processing.co,BEC/Whaling,Deleted
INC-2026-10216,2026-03-18 21:49,Sales,micros0ft-security.com,Malware Delivery,Reported to IT
INC-2026-10217,2026-03-31 1:08,IT,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10218,2026-02-19 20:17,HR,invoice-processing.co,BEC/Whaling,Deleted
INC-2026-10219,2026-02-24 19:28,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10220,2026-03-05 12:54,HR,micros0ft-security.com,Credential Harvesting,Deleted
INC-2026-10221,2026-02-28 8:57,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10222,2026-01-31 21:43,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10223,2026-03-13 22:20,Finance,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10224,2026-03-09 21:09,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10225,2026-01-09 21:24,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10226,2026-03-04 23:04,Executive,invoice-processing.co,BEC/Whaling,Reported to IT
INC-2026-10227,2026-03-19 11:01,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10228,2026-03-08 2:39,Finance,secure-bank-login.net,Urgent Invoice,Clicked Link
INC-2026-10229,2026-01-11 21:13,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10230,2026-02-05 14:34,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10231,2026-02-02 12:50,Sales,hr-benefits-portal.org,Malware Delivery,Clicked Link
INC-2026-10232,2026-03-24 6:50,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10233,2026-03-20 17:27,Sales,invoice-processing.co,Urgent Invoice,Clicked Link
INC-2026-10234,2026-02-06 4:49,Executive,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10235,2026-01-05 17:45,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10236,2026-03-14 16:03,HR,invoice-processing.co,Malware Delivery,Deleted
INC-2026-10237,2026-02-23 14:09,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10238,2026-03-05 13:49,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10239,2026-02-22 17:40,IT,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10240,2026-02-05 1:58,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10241,2026-01-20 17:35,IT,hr-benefits-portal.org,Urgent Invoice,Deleted
INC-2026-10242,2026-03-12 3:02,Sales,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10243,2026-02-21 5:18,IT,secure-bank-login.net,BEC/Whaling,Ignored
INC-2026-10244,2026-03-29 21:28,Sales,secure-bank-login.net,Credential Harvesting,Ignored
INC-2026-10245,2026-01-20 20:32,Sales,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10246,2026-03-07 0:32,IT,secure-bank-login.net,Malware Delivery,Deleted
INC-2026-10247,2026-01-07 17:44,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10248,2026-01-25 13:21,Finance,hr-benefits-portal.org,Credential Harvesting,Deleted
INC-2026-10249,2026-02-10 0:12,IT,micros0ft-security.com,BEC/Whaling,Downloaded Attachment
INC-2026-10250,2026-01-19 13:56,HR,invoice-processing.co,Malware Delivery,Reported to IT
INC-2026-10251,2026-02-18 11:25,Operations,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10252,2026-02-03 12:18,HR,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10253,2026-02-09 22:01,HR,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10254,2026-03-05 18:28,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10255,2026-02-21 19:20,Executive,invoice-processing.co,BEC/Whaling,Clicked Link
INC-2026-10256,2026-02-07 19:26,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10257,2026-01-24 3:19,HR,secure-bank-login.net,Credential Harvesting,Downloaded Attachment
INC-2026-10258,2026-01-28 11:27,Executive,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10259,2026-02-07 7:35,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10260,2026-01-29 10:11,Finance,secure-bank-login.net,Malware Delivery,Reported to IT
INC-2026-10261,2026-02-23 20:09,HR,secure-bank-login.net,Malware Delivery,Ignored
INC-2026-10262,2026-03-12 19:06,HR,secure-bank-login.net,Urgent Invoice,Downloaded Attachment
INC-2026-10263,2026-02-25 2:18,Finance,hr-benefits-portal.org,Urgent Invoice,Clicked Link
INC-2026-10264,2026-02-24 20:13,Sales,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10265,2026-02-05 16:08,HR,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10266,2026-01-20 3:43,IT,secure-bank-login.net,BEC/Whaling,Deleted
INC-2026-10267,2026-02-28 2:39,Finance,hr-benefits-portal.org,Urgent Invoice,Reported to IT
INC-2026-10268,2026-01-19 5:55,HR,secure-bank-login.net,Credential Harvesting,Reported to IT
INC-2026-10269,2026-02-18 3:09,Finance,micros0ft-security.com,Urgent Invoice,Reported to IT
INC-2026-10270,2026-03-17 10:55,Finance,micros0ft-security.com,Urgent Invoice,Clicked Link
INC-2026-10271,2026-03-30 20:22,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10272,2026-03-01 4:27,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10273,2026-03-23 15:19,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10274,2026-01-14 16:30,HR,hr-benefits-portal.org,BEC/Whaling,Deleted
INC-2026-10275,2026-03-05 20:23,Executive,micros0ft-security.com,BEC/Whaling,Ignored
INC-2026-10276,2026-03-30 17:35,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10277,2026-01-14 7:41,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10278,2026-02-12 19:07,Operations,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10279,2026-03-13 19:48,HR,hr-benefits-portal.org,BEC/Whaling,Deleted
INC-2026-10280,2026-01-19 18:06,Sales,secure-bank-login.net,BEC/Whaling,Ignored
INC-2026-10281,2026-02-27 17:51,Finance,micros0ft-security.com,Malware Delivery,Deleted
INC-2026-10282,2026-02-24 17:44,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10283,2026-03-29 9:46,Operations,invoice-processing.co,Urgent Invoice,Reported to IT
INC-2026-10284,2026-03-21 16:02,Operations,hr-benefits-portal.org,BEC/Whaling,Ignored
INC-2026-10285,2026-02-23 13:37,HR,invoice-processing.co,Urgent Invoice,Ignored
